n,d,repeat,elapsed,rank,T_over_rank,T_over_nk,T_over_nk2
1500,8,1,16.510999917984,901,1.832519413761e-02,1.221679609174e-05,1.355915215509e-08
1500,8,0,20.779000043869,1088,1.909834562856e-02,1.273223041904e-05,1.170241766456e-08
1500,16,2,17.976999998093,991,1.814026235933e-02,1.209350823955e-05,1.220333828411e-08
1500,16,1,23.097000122070,1124,2.054893249295e-02,1.369928832863e-05,1.218797894006e-08
1500,16,3,24.177000045776,1149,2.104177549676e-02,1.402785033117e-05,1.220874702452e-08
1500,16,0,24.307000160217,1147,2.119180484762e-02,1.412786989841e-05,1.231723617996e-08
1500,32,0,25.069000005722,1149,2.181810270298e-02,1.454540180199e-05,1.265918346561e-08
1500,32,3,25.180999994278,1151,2.187749782300e-02,1.458499854867e-05,1.267158866088e-08
1500,32,2,26.345000028610,1168,2.255565070943e-02,1.503710047295e-05,1.287422985698e-08
1500,32,1,28.319999933243,1205,2.350207463340e-02,1.566804975560e-05,-1.337786448410e-08
1600,2,0,0.078000068665,8,9.750008583069e-03,6.093755364418e-06,7.617194205523e-07
1600,2,2,0.112999916077,17,6.647053886862e-03,4.154408679289e-06,2.443769811346e-07
1600,2,3,0.132999897003,19,6.999994579114e-03,4.374996611947e-06,2.302629795761e-07
1600,2,1,0.226999998093,44,5.159090865742e-03,3.224431791089e-06,7.328254070656e-08
1600,4,1,0.523000001907,103,5.077669921431e-03,3.173543700894e-06,3.081110389218e-08
1600,4,3,0.807000160217,160,5.043751001358e-03,3.152344375849e-06,1.970215234905e-08
1600,4,2,1.057000160217,206,5.131068738919e-03,3.206917961824e-06,1.556756292148e-08
1600,4,0,3.036999940872,412,7.371359079787e-03,4.607099424867e-06,1.118228015744e-08
1600,8,0,2.493999958038,357,6.985994280219e-03,4.366246425137e-06,1.223038214324e-08
1600,8,3,21.611000061035,1013,2.133366244920e-02,1.333353903075e-05,1.316242747359e-08
1600,8,2,22.360000133514,1110,2.014414426443e-02,1.259009016527e-05,1.134242357231e-08
1600,8,1,22.867000102997,1077,2.123212637233e-02,1.327007898270e-05,1.232133610279e-08
1600,16,3,27.662999868393,1189,2.326576944356e-02,1.454110590223e-05,-1.360689301937e-08
1600,16,2,28.763000011444,1211,2.375144509616e-02,1.484465318510e-05,-1.476135622930e-08
1600,16,0,29.004999876022,1207,2.403065441261e-02,1.501915900788e-05,-1.476826298246e-08
1600,16,1,29.598999977112,1204,2.458388702418e-02,1.536492939011e-05,-1.498242266419e-08
1600,32,1,28.736999988556,1214,2.367133442220e-02,1.479458401388e-05,-1.483664284101e-08
1600,32,2,30.411999940872,1251,2.431015183123e-02,1.519384489452e-05,-1.698078305397e-08
